NodeID,PathIDs,TotalCost
207,207.0 156.0 194.0 16.0 23.0 9.0 157.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2075.7892416920636
46,46.0 13.0 137.0 56.0 1.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1892.2420267094294
29,29.0 38.0 24.0 46.0 13.0 137.0 56.0 1.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1986.621902735176
245,245.0 244.0 247.0 248.0 249.0 335.0 337.0 316.0 318.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1596.9468931239924
104,104.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,548.1358994918318
346,346.0 347.0 358.0 356.0 147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1302.400000964521
514,514.0 116.0 115.0 119.0 408.0 302.0 303.0 306.0,1047.3891622088408
33,33.0 15.0 55.0 77.0 76.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1280.0348613725882
359,359.0 380.0 383.0 488.0 487.0 506.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,770.0643653937276
437,437.0 436.0 433.0 434.0 429.0 430.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,2775.891794525615
117,117.0 102.0 101.0 110.0 98.0 100.0 286.0 283.0,510.12254839237494
406,406.0 402.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1368.6535446243158
268,268.0 428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,3504.496817591421
500,500.0 502.0 503.0 489.0 490.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,968.6428503384328
448,448.0 158.0 139.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1683.2165580192584
197,197.0 205.0 202.0 192.0 199.0 201.0 392.0 395.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2013.9474326481904
88,88.0 289.0 271.0 439.0 270.0 276.0 269.0 268.0 428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,4139.328347672838
76,76.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,973.261620356842
447,447.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1793.0944025661902
